artist,track,track_url,tags
The Cure,Boys Don't Cry,https://www.last.fm/music/The+Cure/_/Boys+Don%27t+Cry,"new wave, 80s, post-punk, rock, alternative, The Cure, british, alternative rock, indie, 70s"
The Cure,Just Like Heaven,https://www.last.fm/music/The+Cure/_/Just+Like+Heaven,"80s, new wave, post-punk, alternative, rock, The Cure, alternative rock, british, Love, Gothic"
The Cure,Close to Me,https://www.last.fm/music/The+Cure/_/Close+to+Me,"80s, new wave, post-punk, alternative, rock, The Cure, british, alternative rock, indie, 1985"
Olivia Dean,Man I Need,https://www.last.fm/music/Olivia+Dean/_/Man+I+Need,"british, uk number one, playlista rmf fm"
Olivia Dean,Dive,https://www.last.fm/music/Olivia+Dean/_/Dive,"pop soul, soul, Neo-Soul, pop, contemporary rnb"
Olivia Dean,So Easy (To Fall In Love),https://www.last.fm/music/Olivia+Dean/_/So+Easy+(To+Fall+In+Love),keeping diva alive in 2025
System of a Down,Chop Suey!,https://www.last.fm/music/System+of+a+Down/_/Chop+Suey%21,"alternative metal, metal, rock, System of a Down, alternative, Nu Metal, hard rock, alternative rock, soad, heavy metal"
System of a Down,Toxicity,https://www.last.fm/music/System+of+a+Down/_/Toxicity,"alternative metal, metal, rock, System of a Down, alternative, Nu Metal, toxicity, hard rock, alternative rock, heavy metal"
System of a Down,Lonely Day,https://www.last.fm/music/System+of+a+Down/_/Lonely+Day,"alternative metal, rock, metal, System of a Down, alternative, alternative rock, Nu Metal, hard rock, melancholic, sad"
System of a Down,Aerials,https://www.last.fm/music/System+of+a+Down/_/Aerials,"alternative metal, metal, rock, System of a Down, alternative, Nu Metal, alternative rock, hard rock, 00s, soad"
System of a Down,B.Y.O.B.,https://www.last.fm/music/System+of+a+Down/_/B.Y.O.B.,"alternative metal, metal, rock, alternative, System of a Down, Nu Metal, hard rock, heavy metal, Progressive metal, political"
Queen,Bohemian Rhapsody,https://www.last.fm/music/Queen/_/Bohemian+Rhapsody,"classic rock, rock, Queen, 70s, 80s, epic, hard rock, british, glam rock, Progressive rock"
Queen,Bohemian Rhapsody - Remastered 2011,https://www.last.fm/music/Queen/_/Bohemian+Rhapsody+-+Remastered+2011,"hard rock, Progressive rock, rock, rock opera, art rock, classic rock, glam rock, Progressive Pop, United Kingdom, 1975"
Queen,Don't Stop Me Now - Remastered 2011,https://www.last.fm/music/Queen/_/Don%27t+Stop+Me+Now+-+Remastered+2011,"rock, pop rock, piano rock, classic rock, hard rock, power pop, Queen, happy, glam rock, pop"
Queen,Another One Bites The Dust - Remastered 2011,https://www.last.fm/music/Queen/_/Another+One+Bites+The+Dust+-+Remastered+2011,"rock, classic rock, Disco, 80s, pop rock, Queen, Funk Rock, funk, pop, hard rock"
Green Day,Basket Case,https://www.last.fm/music/Green+Day/_/Basket+Case,"punk rock, punk, rock, 90s, green day, pop punk, alternative, alternative rock, 1994, american"
Green Day,American Idiot,https://www.last.fm/music/Green+Day/_/American+Idiot,"punk rock, rock, punk, alternative, green day, test, testing, pop punk, alternative rock, 00s"
Green Day,Boulevard of Broken Dreams,https://www.last.fm/music/Green+Day/_/Boulevard+of+Broken+Dreams,"rock, punk rock, green day, punk, alternative, alternative rock, pop punk, 00s, american, Boulevard of Broken Dreams"
Green Day,Wake Me Up When September Ends,https://www.last.fm/music/Green+Day/_/Wake+Me+Up+When+September+Ends,"rock, punk rock, alternative, green day, punk, pop punk, alternative rock, sad, 00s, melancholic"
Green Day,When I Come Around,https://www.last.fm/music/Green+Day/_/When+I+Come+Around,"4 Stars, punk rock, punk, rock, 90s, green day, pop punk, alternative rock, alternative, american"
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),https://www.last.fm/music/Metro+Boomin/_/Creepin%27+(with+The+Weeknd+&+21+Savage),"The Weeknd, trap, Metro Boomin, rap, 21 savage, pop, rnb, pop rap, 2022, adult contemporary"
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),https://www.last.fm/music/Metro+Boomin/_/Too+Many+Nights+(feat.+Don+Toliver+&+with+Future),"Metro Boomin, future, don toliver, metrooo, Love, pop, mmm, in love, trap, Olivia"
Metro Boomin,Trance (with Travis Scott & Young Thug),https://www.last.fm/music/Metro+Boomin/_/Trance+(with+Travis+Scott+&+Young+Thug),"trap, travis scott, Metro Boomin, Young Thug, rnb, Southern Hip Hop, uk bass, jersey club, cloud rap"
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],https://www.last.fm/music/Metro+Boomin/_/Superhero+(Heroes+&+Villains)+%5Bwith+Future+&+Chris+Brown%5D,"trap, future, Chris Brown, Metro Boomin, 2022, rap, epic"
Metro Boomin,Space Cadet (feat. Gunna),https://www.last.fm/music/Metro+Boomin/_/Space+Cadet+(feat.+Gunna),"trap, rap, Metro Boomin, pop rap, gunna, Hip-Hop, psychedelic, atlanta, Southern Hip Hop, 2018"
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,https://www.last.fm/music/Post+Malone/_/Sunflower+-+Spider-Man:+Into+the+Spider-Verse,"Hip-Hop, pop, alternative rnb, rnb, 2018, 2010s, rap, swae lee, pop rap, Soundtrack"
Post Malone,Circles,https://www.last.fm/music/Post+Malone/_/Circles,"pop, indie pop, Hip-Hop, pop rock, post malone, 2010s, 2019, rap, rock, alternative pop"
Post Malone,rockstar (feat. 21 Savage),https://www.last.fm/music/Post+Malone/_/rockstar+(feat.+21+Savage),"trap, rap, Hip-Hop, cloud rap, 2017, pop rap, hip hop, post malone, 21 savage, pop"
Post Malone,Congratulations,https://www.last.fm/music/Post+Malone/_/Congratulations,"rap, trap, 2017, hip hop, post malone, 2010s, Hip-Hop, pop rap, emo rap, english"
Post Malone,Better Now,https://www.last.fm/music/Post+Malone/_/Better+Now,"Hip-Hop, rap, trap, rnb, 2018, post malone, 2010s, cloud rap, alternative rnb, emo rap"
Hozier,Take Me to Church,https://www.last.fm/music/Hozier/_/Take+Me+to+Church,"indie, soul, KICK, favorite track right now, indie rock, 2013, rock, WSUM 91.7 FM Madison, Hozier, 10s"
Hozier,Too Sweet,https://www.last.fm/music/Hozier/_/Too+Sweet,"2024, pop soul, pop, Love, irish, all Music, pop rock, 20s, bassline, good vocals"
Hozier,Work Song,https://www.last.fm/music/Hozier/_/Work+Song,"soul, singer-songwriter, irish, pop, Ballad, blues, indie, 2014, 2010s, indie rock"
Hozier,Like Real People Do,https://www.last.fm/music/Hozier/_/Like+Real+People+Do,"soul, folk, ethereal, haunting, lovely, green, blues, hip, indie folk, psychedelic folk"
